trade_id,timestamp,ticker,side,quantity,entry_price,exit_price,exit_timestamp,pnl,pnl_pct,fair_value,mispricing,signal_strength,orderbook_imbalance,score_differential,win_probability
13,1769568322.1723804,KXNBAGAME-26JAN27DETDEN-DEN,sell,289,0.09,0.08499999999999999,1769568326.3276827,1.4450000000000012,5.555555555555561,0.10166948798997573,0.011669487989975733,-0.0009027296358157188,0.0,-12,0.02
14,1769568328.4073925,KXNBAGAME-26JAN27DETDEN-DEN,sell,1381,0.09,0.08499999999999999,1769568332.5591917,6.9050000000000065,5.555555555555561,0.087923312265042,-0.002076687734957991,-0.001970069803287451,0.0,-12,0.02
15,1769568334.633833,KXNBAGAME-26JAN27DETDEN-DEN,sell,574,0.08499999999999999,0.095,1769568338.7878525,-5.7400000000000055,-11.764705882352954,0.08422695276984954,-0.0007730472301504532,-0.0012347360787361961,0.0,-12,0.02
16,1769568342.9614232,KXNBAGAME-26JAN27DETDEN-DEN,buy,89,0.095,0.1,1769568351.27263,0.4450000000000004,5.263157894736847,0.09089364386634673,-0.0041063561336532745,0.0005161789344332609,0.0,-12,0.02
17,1769568353.3476331,KXNBAGAME-26JAN27DETDEN-DEN,buy,254,0.1,0.10500000000000001,1769568355.4283402,1.2700000000000011,5.0000000000000036,0.09820807082944645,-0.001791929170553555,0.0008907229447676878,0.0,-14,0.02
18,1769568357.5015059,KXNBAGAME-26JAN27DETDEN-DEN,buy,408,0.10500000000000001,0.11,1769568361.662125,2.039999999999996,4.761904761904753,0.10288941967880107,-0.0021105803211989432,0.0011569497500960994,0.0,-12,0.02
19,1769568363.7352157,KXNBAGAME-26JAN27DETDEN-DEN,buy,425,0.11,0.11499999999999999,1769568376.1956046,2.124999999999996,4.545454545454537,0.10857677803994993,-0.0014232219600500695,0.001208417005919673,0.0,-12,0.02
20,1769568378.2680986,KXNBAGAME-26JAN27DETDEN-DEN,buy,108,0.11499999999999999,0.12,1769568380.4385905,0.5400000000000005,4.347826086956527,0.11372556156200328,-0.001274438437996711,0.00062352942410664,0.0,-12,0.02
21,1769568382.5154035,KXNBAGAME-26JAN27DETDEN-DEN,buy,364,0.125,0.11499999999999999,1769568386.6710575,-3.6400000000000032,-8.000000000000007,0.11939501518485962,-0.005604984815140379,0.0011929665482159715,0.0,-12,0.02
22,1769568388.7458522,KXNBAGAME-26JAN27DETDEN-DEN,buy,98,0.12,0.11499999999999999,1769568390.8335435,-0.49000000000000044,-4.1666666666666705,0.1208795379003736,0.0008795379003736087,0.0006060372498697121,0.0,-12,0.02
23,1769568413.6519482,KXNBAGAME-26JAN27DETDEN-DEN,buy,149,0.125,0.13,1769568419.8764732,0.7450000000000007,4.0000000000000036,0.12025060851878272,-0.00474939148121728,0.0007649317541455086,0.0,-12,0.02
24,1769568421.9492214,KXNBAGAME-26JAN27DETDEN-DEN,buy,347,0.14500000000000002,0.155,1769568430.2473493,3.4699999999999935,6.896551724137917,0.12840948069749702,-0.016590519302502993,0.0012542427506298482,0.0,-12,0.02
25,1769568432.3231528,KXNBAGAME-26JAN27DETDEN-DEN,buy,1349,0.155,0.18,1769568459.3128636,33.724999999999994,16.129032258064512,0.15261599222291597,-0.0023840077770840296,0.0025547475334361147,0.0,-9,0.02
26,1769568461.3878143,KXNBAGAME-26JAN27DETDEN-DEN,buy,1216,0.185,0.175,1769568471.764996,-12.16000000000001,-5.40540540540541,0.17814983054912475,-0.006850169450875243,0.0026455038170877243,0.0,-9,0.02
27,1769568480.0605094,KXNBAGAME-26JAN27DETDEN-DEN,sell,71,0.175,0.185,1769568488.3699718,-0.7100000000000006,-5.71428571428572,0.1777514129659297,0.002751412965929706,-0.0006244715098019956,0.0,-6,0.02
28,1769568492.520608,KXNBAGAME-26JAN27DETDEN-DEN,buy,69,0.185,0.19,1769568504.9711978,0.3450000000000003,2.702702702702705,0.18172484997098434,-0.0032751500290156554,0.0006339946732438107,0.0,-6,0.02
29,1769568507.0447357,KXNBAGAME-26JAN27DETDEN-DEN,buy,143,0.195,0.185,1769568531.9460433,-1.4300000000000013,-5.128205128205132,0.1900060829464223,-0.004993917053577712,0.0009343605875670393,0.0,-6,0.02
30,1769568623.379667,KXNBAGAME-26JAN27DETDEN-DEN,sell,46,0.185,0.195,1769568635.8149009,-0.4600000000000004,-5.405405405405411,0.1890605461336211,0.004060546133621112,-0.000516648773644751,0.0,-6,0.02
31,1769568639.9576123,KXNBAGAME-26JAN27DETDEN-DEN,buy,78,0.195,0.20500000000000002,1769568662.8535783,0.7800000000000007,5.128205128205132,0.19292827671258353,-0.002071723287416477,0.0006917040154299,0.0,-6,0.02
32,1769568664.9310892,KXNBAGAME-26JAN27DETDEN-DEN,buy,181,0.21000000000000002,0.215,1769568669.082977,0.9049999999999958,2.38095238095237,0.20231374658970336,-0.007686253410296662,0.0010880805982821462,0.0,-6,0.02
33,1769568708.509263,KXNBAGAME-26JAN27DETDEN-DEN,buy,56,0.20500000000000002,0.195,1769568725.0877428,-0.5600000000000005,-4.878048780487809,0.19952834883242165,-0.005471651167578362,0.0005987308290682173,0.0,-8,0.02
34,1769568733.3748772,KXNBAGAME-26JAN27DETDEN-DEN,sell,182,0.185,0.195,1769568760.3300588,-1.8200000000000016,-5.40540540540541,0.19178851059577026,0.006788510595770264,-0.0010266412841097269,0.0,-8,0.02
35,1769568762.4021463,KXNBAGAME-26JAN27DETDEN-DEN,buy,114,0.195,0.2,1769568764.470885,0.5700000000000005,2.5641025641025665,0.19023118510519427,-0.00476881489480574,0.0008338059078446234,0.0,-8,0.02
36,1769568766.5454142,KXNBAGAME-26JAN27DETDEN-DEN,buy,408,0.20500000000000002,0.195,1769568768.6154346,-4.080000000000004,-4.878048780487809,0.19809031878989514,-0.006909681210104879,0.0016154348839727117,0.0,-8,0.02
37,1769568770.6853166,KXNBAGAME-26JAN27DETDEN-DEN,buy,122,0.195,0.2,1769568779.0775435,0.6100000000000005,2.5641025641025665,0.19797380264014375,0.002973802640143741,0.00086355944313333,0.0,-8,0.02
38,1769568781.1687813,KXNBAGAME-26JAN27DETDEN-DEN,buy,69,0.20500000000000002,0.21000000000000002,1769568787.3827827,0.3450000000000003,2.439024390243904,0.20022961003926537,-0.0047703899607346445,0.0006657343617638913,0.0,-6,0.02
39,1769568789.5611908,KXNBAGAME-26JAN27DETDEN-DEN,buy,140,0.21000000000000002,0.215,1769568795.7784011,0.6999999999999967,2.38095238095237,0.20672879771882496,-0.0032712022811750563,0.0009581461865715297,0.0,-6,0.02
40,1769568797.854687,KXNBAGAME-26JAN27DETDEN-DEN,buy,172,0.215,0.22,1769568804.0709956,0.8600000000000008,2.3255813953488396,0.21348625988224731,-0.0015137401177526821,0.0010754205601176698,0.0,-6,0.02
41,1769568822.9126365,KXNBAGAME-26JAN27DETDEN-DEN,buy,134,0.235,0.245,1769568843.63373,1.3400000000000012,4.255319148936175,0.2289285014004707,-0.006071498599529296,0.0009929003135805195,0.0,-6,0.02
42,1769568847.7811778,KXNBAGAME-26JAN27DETDEN-DEN,buy,186,0.245,0.255,1769568872.6599462,1.8600000000000017,4.081632653061228,0.24274521440988306,-0.0022547855901169367,0.001193897254614835,0.0,-6,0.02
43,1769568876.804923,KXNBAGAME-26JAN27DETDEN-DEN,buy,167,0.26,0.265,1769568889.2368023,0.8350000000000007,1.9230769230769247,0.25412053445524,-0.0058794655447599875,0.00116468430097095,0.0,-5,0.02
44,1769568893.3809655,KXNBAGAME-26JAN27DETDEN-DEN,buy,212,0.27,0.275,1769568895.4551475,1.060000000000001,1.8518518518518534,0.26571466113686604,-0.004285338863133981,0.001336525860483011,0.0,-5,0.02
